Nationality,Height
Afghanistan,172
Albania,182
Algeria,181
Andorra,184
Angola,177
Antigua and Barbuda,176
Argentina,179
Armenia,183
Australia,181
Austria,183
Azerbaijan,182
Barbados,179
Belarus,184
Belgium,182
Belize,175
Benin,184
Bermuda,170
Bhutan,173
Bolivia,177
Bosnia and Herzegovina,186
Brazil,181
Bulgaria,184
Burkina Faso,182
Burundi,175
C̫te d'Ivoire,180
Cameroon,183
Canada,182
Cape Verde Islands,182
Central African Republic,183
Chad,184
Chile,178
China PR,182
Chinese Taipei,180
Colombia,179
Comoros,176
Congo,183
Congo DR,180
Costa Rica,178
Croatia,186
Cuba,177
Curacao,183
Cyprus,180
Czech Republic,184
Denmark,184
Dominican Republic,180
Ecuador,178
Egypt,181
El Salvador,181
England,182
Equatorial Guinea,179
Eritrea,189
Estonia,184
Ethiopia,176
Faroe Islands,187
Fiji,169
Finland,184
France,182
Gabon,180
Gambia,182
Georgia,183
Germany,184
Ghana,179
Gibraltar,175
Greece,183
Grenada,182
Guam,175
Guatemala,180
Guinea,183
Guinea Bissau,180
Guyana,182
Haiti,179
Honduras,179
Hong Kong,176
Hungary,184
Iceland,185
India,176
Indonesia,170
Iran,184
Iraq,181
Israel,181
Italy,183
Jamaica,183
Japan,177
Jordan,177
Kazakhstan,179
Kenya,181
Korea DPR,173
Korea Republic,181
Kosovo,182
Kyrgyzstan,183
Latvia,188
Lebanon,186
Liberia,181
Libya,177
Lithuania,185
Luxembourg,183
Madagascar,180
Malawi,162
Malaysia,181
Mali,181
Malta,183
Mauritania,175
Mauritius,184
Mexico,178
Moldova,183
Montenegro,185
Montserrat,182
Morocco,181
Mozambique,182
Namibia,176
Netherlands,183
New Zealand,183
Niger,176
Nigeria,182
North Macedonia,182
Northern Ireland,181
Norway,183
Palestine,182
Panama,179
Papua New Guinea,175
Paraguay,179
Peru,178
Philippines,183
Poland,183
Portugal,181
Puerto Rico,175
Republic of Ireland,181
Romania,181
Russia,184
Saint Kitts and Nevis,184
Saint Lucia,183
Saudi Arabia,177
Scotland,181
Senegal,185
Serbia,186
Sierra Leone,180
Slovakia,185
Slovenia,184
South Africa,177
South Sudan,183
Spain,180
Sudan,184
Suriname,182
Sweden,183
Switzerland,183
Syria,187
Tanzania,183
Thailand,174
Togo,183
Trinidad and Tobago,181
Tunisia,181
Turkey,182
Uganda,184
Ukraine,183
United Arab Emirates,178
United States,182
Uruguay,180
Uzbekistan,181
Venezuela,177
Vietnam,188
Wales,181
Zambia,181
Zimbabwe,182
